"College","CDS_loc","Name_Table_Loc"
"Howard University","cds_cleaned/ira.howard.edu_sites_ira.howard.edu_files_2022-05_CDS%202021-2022.pdf","data_tables/name_tables/howard_university.csv"
"Temple University","cds_cleaned/ira.temple.edu_sites_ira_files_documents_data-analysis_common-data_CDS-2021-2022_0.pdf","data_tables/name_tables/temple_university.csv"
"Wayne State University","cds_cleaned/irda.wayne.edu_common-data-set_cds_2022-2023.pdf","data_tables/name_tables/wayne_state_university.csv"
"The University of North Carolina at Greensboro","cds_cleaned/ire.uncg.edu_external_reports_cds_docs_cds2022-UNCG.pdf","data_tables/name_tables/the_university_of_north_carolina_at_greensboro.csv"
"University of Mississippi","cds_cleaned/irep.olemiss.edu_wp-content_uploads_sites_98_2023_04_UM-CDS-2022-23-PDF-1.pdf","data_tables/name_tables/university_of_mississippi.csv"
"FALSE","cds_cleaned/iro.caltech.edu_documents_25199_Caltech_Common_Data_Set_2022-23_Published_June_2023_v1.pdf","data_tables/name_tables/false.csv"
"FAILED","cds_cleaned/irp.cofc.edu_docs_common-data-set_2022-23_sectionc2022.pdf","DNE"
"Cornell University","cds_cleaned/irp.dpb.cornell.edu_wp-content_uploads_2022_05_CDS_2021-2022_V5.pdf","data_tables/name_tables/cornell_university.csv"
"Georgia Institute of Technology","cds_cleaned/irp.gatech.edu_files_CDS_CDS_2021-2022_Final_Rev_1.pdf","data_tables/name_tables/georgia_institute_of_technology.csv"
"Southern Illinois University Carbondale","cds_cleaned/irs.siu.edu__common_documents_cds_2021-2022.pdf","data_tables/name_tables/southern_illinois_university_carbondale.csv"
"University of Miami","cds_cleaned/irsa.miami.edu__assets_pdf_cds2122.pdf","data_tables/name_tables/university_of_miami.csv"
"FAILED","cds_cleaned/kwc.edu__uploads_sites_2_2022-2023-Academic-Bulletin-1.pdf","DNE"
"FAILED","cds_cleaned/lasierra.edu_fileadmin_documents_bulletins_undergraduate-bulletin-22-23.pdf","DNE"
"FAILED","cds_cleaned/louisville.edu_oapa_institutional-research-and-planning_quick-facts_CDS_20222023_FINAL.pdf","DNE"
"FAILED","cds_cleaned/manoa.hawaii.edu_miro_wp-content_uploads_2023_03_AnalysisBrief_CommonDataSet_2022-2023.pdf","DNE"
"FAILED","cds_cleaned/manoa.hawaii.edu_miro_wp-content_uploads_2023_06_AnalysisBrief_CommonDataSet_2022-2023.docx-1.pdf","DNE"
"University of California, Santa Cruz","cds_cleaned/mediafiles.ucsc.edu_iraps_common-data-set_common-data-set-2022-23.pdf","data_tables/name_tables/university_of_california,_santa_cruz.csv"
"FAILED","cds_cleaned/millikin.edu_sites_default_files_2023-03_millikin_2022-2023_bulletin_undergraduate.pdf","DNE"
"FAILED","cds_cleaned/myeol.nccu.edu_sites_default_files_2022-03_Common-Data-Set-2021-2022.pdf","DNE"
"The Ohio State University - Columbus Campus","cds_cleaned/oaa.osu.edu_sites_default_files_uploads_irp_cds_columbus_CDS_2021-2022_Columbus.pdf","data_tables/name_tables/the_ohio_state_university_-_columbus_campus.csv"
"Oakland University","cds_cleaned/oakland.edu_Assets_Oakland_oira_files-and-documents_CDS_CDS_2022-2023%20official.pdf","data_tables/name_tables/oakland_university.csv"
"FALSE","cds_cleaned/obp.umich.edu_wp-content_uploads_pubdata_cds_cds_2022-2023_umaa.pdf","data_tables/name_tables/false.csv"
"FALSE","cds_cleaned/offices.nsuok.edu__resources_documents_CDS_2022-2023-3.pdf","data_tables/name_tables/false.csv"
"University of New Mexico","cds_cleaned/oia.unm.edu_facts-and-figures_documents_Common%20Data%20Set_cds-2022-23.pdf","data_tables/name_tables/university_of_new_mexico.csv"
"Harvard University","cds_cleaned/oir.harvard.edu_files_huoir_files_harvard_cds_2021-2022.pdf","data_tables/name_tables/harvard_university.csv"
"FALSE","cds_cleaned/oir.lafayette.edu_wp-content_uploads_sites_196_2023_03_CDS2022-2023.pdf","data_tables/name_tables/false.csv"
"University of North Carolina at Chapel Hill","cds_cleaned/oira.unc.edu_wp-content_uploads_sites_297_2023_08_CDS_2021-22_20230825.pdf","data_tables/name_tables/university_of_north_carolina_at_chapel_hill.csv"
"FLORIDA INTERNATIONAL UNIVERSITY","cds_cleaned/opir.fiu.edu_CDS_CDS2022.pdf","data_tables/name_tables/florida_international_university.csv"
"FAILED","cds_cleaned/point.edu_wp-content_uploads_2023_07_Academic-Catalog-2022-2023-Point-University-revised-07-13-23-2.pdf","DNE"
"FAILED","cds_cleaned/prescott.erau.edu_-_media_files_prescott_campus-life_new-student-information-guide.pdf","DNE"
"Duke University","cds_cleaned/provost-files.cloud.duke.edu_sites_default_files_CDS%202021-22%20FINAL_2.pdf","data_tables/name_tables/duke_university.csv"
"Tufts University","cds_cleaned/provost.tufts.edu_institutionalresearch_files_CDS_2022-2023.pdf","data_tables/name_tables/tufts_university.csv"
"Hollins University","cds_cleaned/registrar.press.hollins.edu_wp-content_uploads_sites_47_2023_05_CDS_2022-2023_HollinsUniversity_R3.pdf","data_tables/name_tables/hollins_university.csv"
"North Carolina State University","cds_cleaned/report.isa.ncsu.edu_ir_cds_pdfs_CDS_2022-23.pdf","data_tables/name_tables/north_carolina_state_university.csv"
"FAILED","cds_cleaned/sfcm.edu_sites_default_files_StudentHandbook2022to2023.pdf","DNE"
"Rowan University","cds_cleaned/sites.rowan.edu_academic-affairs_oira__docs_rowan_university_cds.pdf","data_tables/name_tables/rowan_university.csv"
"Springfield College","cds_cleaned/springfield.edu_sites_default_files_springfield_college.cds_.2022-23-1.pdf","data_tables/name_tables/springfield_college.csv"
"Stockton University","cds_cleaned/stockton.edu_institutional-research_documents_analyses-reports_Stockton_University_CDS_2022-2023.pdf","data_tables/name_tables/stockton_university.csv"
"FALSE","cds_cleaned/susqu_common-data-setpdf.pdf","data_tables/name_tables/false.csv"
"FAILED","cds_cleaned/tabor.edu_wp-content_uploads_2022_07_Academic-Catalog-22-23-for-website.pdf","DNE"
"FAILED","cds_cleaned/tfc.edu_wp-content_uploads_2023_03_TFC-Catalog-2022-2023.pdf","DNE"
"FALSE","cds_cleaned/uair.arizona.edu_sites_default_files_2023-06_CDS_2022-2023%20FINAL_Section%20G_Ammended.pdf","data_tables/name_tables/false.csv"
"FAILED","cds_cleaned/uindy.edu_cas_files_scas-grad-catalog.pdf","DNE"
"University of North Dakota","cds_cleaned/und.edu_analytics-and-planning__files_docs_common-data-set_cds-2022-2023.pdf","data_tables/name_tables/university_of_north_dakota.csv"
"Arizona State University Campus Immersion","cds_cleaned/uoia.asu.edu_sites_default_files_2023-04_CDS-2022-23-Campus-Immersion.pdf","data_tables/name_tables/arizona_state_university_campus_immersion.csv"
"FAILED","cds_cleaned/users.csc.calpoly.edu_~ayaank_pubs_sigcse2024cs0.pdf","DNE"
"University of West Florida","cds_cleaned/uwf.edu_media_university-of-west-florida_academic-affairs_departments_institutional-research_cds_CDS_2021-22.pdf","data_tables/name_tables/university_of_west_florida.csv"
"University of Rhode Island","cds_cleaned/web.uri.edu_provost_wp-content_uploads_sites_1779_URI_CDS_2022-2023Final.pdf","data_tables/name_tables/university_of_rhode_island.csv"
"FAILED","cds_cleaned/westoahu.hawaii.edu_wp-content_uploads_docs_education_caep_2022-23_Mentor_Teacher_Program_Evaluation_Data.pdf","DNE"
