"College","Class rank","Academic GPA","Standardized test scores","Application Essay","Recommendation(s)","Interview","Extracurricular activities","Talent/ability","Character/personal qualities","First generation","Alumni/ae relation","Geographical residence","State residency","Religious affiliation/commitment","Racial/ethnic status","Volunteer work","Work experience","Rigor of secondary school record","Level of applicant’s interest"
"Howard University",1,3,1,2,2,0,1,1,2,1,1,0,0,0,0,1,1,NA,1
"Huntington University",2,3,1,2,1,0,1,1,2,1,1,0,0,1,0,1,1,NA,1
"Illinois Institute of Technology",2,3,1,1,2,1,1,1,1,1,1,0,0,0,0,1,1,3,1
"Immaculata University",2,3,1,2,2,1,1,1,1,2,1,0,0,1,0,1,1,NA,1
"Indiana University of Pennsylvania",1,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0
"Kansas State University",0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kennesaw State University",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Knox College",2,3,1,2,2,1,1,1,1,1,1,1,1,0,1,1,1,3,1
"Lake Forest College",1,2,1,3,1,3,3,3,3,1,1,1,0,0,0,1,1,NA,1
"Lawrence University",3,3,1,2,1,2,2,3,3,1,1,1,0,0,1,1,1,3,1
"Lewis-Clark State College",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"Lincoln University",1,3,3,0,0,1,1,1,1,0,0,1,1,0,0,1,1,NA,2
"Lipscomb University",1,3,2,1,2,0,1,1,2,1,0,0,0,0,0,1,1,NA,0
"Loyola University Chicago",1,3,1,2,2,1,2,1,2,1,1,1,1,0,0,2,2,3,2
"Lynn University",2,3,2,3,2,2,2,0,2,0,0,0,0,0,0,2,2,NA,1
"Macalester College",1,3,1,2,2,1,2,1,2,1,1,1,1,0,1,1,1,NA,0
"Marist College",1,3,1,1,2,0,1,1,2,1,0,1,0,0,1,1,1,NA,1
"Marquette University",1,3,2,2,1,1,2,1,1,1,0,0,0,0,0,2,1,3,0
"Maryville University of St. Louis",0,3,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,2,0
"Messiah University",2,3,2,2,1,0,3,3,3,0,1,0,0,3,1,2,1,3,1
"MICHIGAN STATE UNIVERSITY",1,3,1,3,1,1,2,2,2,1,1,2,1,0,0,1,1,2,2
"Michigan Technological University",0,3,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0
"Mount St. Mary's University",1,3,2,2,2,1,2,2,2,0,0,0,0,0,0,1,1,2,2
"Murray State University",3,3,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"North Carolina Agricultural & Technical State",0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"North Central College",0,3,0,1,1,1,2,2,3,1,1,0,0,0,0,3,1,NA,1
"Northern Arizona University",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Northwestern University",3,3,1,3,3,1,3,3,3,1,1,0,0,0,1,1,1,NA,1
"Oakland University",0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Oregon State University",1,3,1,2,1,0,1,2,2,0,0,0,0,0,0,2,2,2,1
"Pace University",2,2,1,3,2,1,1,1,1,0,1,0,0,0,0,1,1,3,0
"Pitzer College",1,3,0,3,2,1,2,2,3,1,1,1,1,0,1,2,1,3,1
"Point Park University",0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0
